"id","category","title","url","source_role","priority","why_it_matters","tags"
"APPLE-FCP-001","Final Cut workflow","Final Cut Pro User Guide","https://support.apple.com/guide/final-cut-pro/welcome/mac","technical_authority","core","Canonical entry point for current Final Cut behavior and terminology.","final-cut,manual,workflow"
"APPLE-FCP-002","Timeline","Intro to the Magnetic Timeline","https://support.apple.com/guide/final-cut-pro/intro-to-the-magnetic-timeline-verb8fcfc133/mac","technical_authority","core","Explains spine and connected-clip behavior that constructions must respect.","final-cut,timeline,spine"
"APPLE-FCP-003","Multicam","Multicam editing workflow","https://support.apple.com/guide/final-cut-pro/multicam-editing-workflow-ver10e087fd/mac","technical_authority","reference","Official multicam organization and editing workflow.","final-cut,multicam"
"APPLE-FCP-004","Multicam","Edit multicam clips","https://support.apple.com/guide/final-cut-pro/edit-multicam-clips-ver23c76d65/mac","technical_authority","reference","Details what effects and split edits remain possible inside multicam workflows.","final-cut,multicam,effects"
"APPLE-FCP-005","Multicam","Cut and switch camera angles","https://support.apple.com/guide/final-cut-pro/cut-and-switch-camera-angles-ver23c76c9c/mac","technical_authority","reference","Useful for understanding live switching and later fine-tuning.","final-cut,multicam"
"APPLE-FCP-006","Multicam","Sync and adjust camera angles","https://support.apple.com/guide/final-cut-pro/sync-and-adjust-camera-angles-ver23c76b1a/mac","technical_authority","reference","Official sync and monitoring behavior.","final-cut,multicam,sync"
"APPLE-FCP-007","Roles","Work with audio roles in compound clips","https://support.apple.com/guide/final-cut-pro/work-with-audio-roles-in-compound-clips-ver2adbd7173/mac","technical_authority","high","Shows how role-based audio organization survives compound structures.","final-cut,audio,roles"
"APPLE-FCP-008","Keyframes","Add video effect keyframes","https://support.apple.com/guide/final-cut-pro/add-video-effect-keyframes-ver8e3f20ea/mac","technical_authority","core","Canonical user-facing meaning of effect keyframes and interpolation.","final-cut,keyframes,animation"
"APPLE-FCP-009","Keyframes","Copy and paste keyframes","https://support.apple.com/guide/final-cut-pro/copy-and-paste-keyframes-verc32e6a04c/mac","technical_authority","reference","Clarifies reusable animation behavior in Final Cut.","final-cut,keyframes"
"APPLE-FCP-010","Audio","Keyframe audio effects","https://support.apple.com/guide/final-cut-pro/keyframe-audio-effects-ver717f5914/mac","technical_authority","high","Official temporal automation path for audio treatment.","final-cut,audio,keyframes"
"APPLE-FCP-011","Transitions","Add video transitions and fades","https://support.apple.com/guide/final-cut-pro/add-transitions-and-fades-ver761c7432/mac","technical_authority","core","Explains media handles and basic transition construction behavior.","final-cut,transitions,handles"
"APPLE-FCP-012","Transitions","Adjust transitions in the timeline","https://support.apple.com/guide/final-cut-pro/adjust-transitions-in-the-timeline-vercf3c662c/mac","technical_authority","core","Shows duration changes and rolling behavior under a transition.","final-cut,transitions,timing,handles"
